control,2.60,1.25,-3.41,0,
aRSC-R,5.00,1.09,-0.16,1,
pRSC-R,5.00,0.62,-0.33,1,
aRSC-L,5.00,0.97,0.30,1,
pRSC-L,5.00,0.57,0.13,1,
S1C2-R,2.60,1.43,-1.26,2,
A-R,4.30,1.20,-0.74,3,
A-L,4.30,0.80,0.81,3,
